analysis_id,Corticosterone,Aldosterone,Cortisone,Cortisol
SBLK1,NA,NA,60.60851095125536,NA
SBLK2,NA,1.9884055008374018,NA,86.38625136078176
UBLK,0.33730984197928027,-0.10447710964295882,0.5961555066305695,3.12595836835002
Cal0,0.3293810809025963,-0.12280147964265906,0.5652755511886945,2.7534772042548457
CalA,0.9199995935951435,0.2801023849120237,1.6035253543059678,6.565866857694854
CalB,1.9336604386359992,0.3730703639292401,3.1793835037699685,9.546237086168643
CalC,6.914813370377822,1.8370321944954588,10.062359737486325,50.36675055346742
CalD,14.916760376183987,2.7417115176691293,22.44086757851624,79.64852480394381
CalE,42.81281856038883,5.408291292232638,71.38113536376545,287.0031523816406
CalF,110.88713183067229,12.883614122823785,176.82471906718467,702.408479354655
InstBLK,12.476990109661832,1.2012543882361422,NA,38.54533132303008
QC_High_1,77.58645042973167,8.790656934911226,117.25552058281662,601.5066176201356
QC_High_2,76.81393205033204,9.296295435819237,102.42611212934648,489.4876125489749
QC_High_3,80.66856044840253,7.073526626016125,119.44310890825747,435.4667983263506
QC_High_4,78.98459008706031,10.035430651034407,116.36865847322362,513.4433147981445
QC_High_5,72.28254412878537,8.070158946667986,115.14683385037884,436.8277203915899
QC_Low_1,3.8172801402503387,0.922663087400403,6.013880676022238,19.585639579551643
QC_Low_2,3.280787497284084,0.9562781672027971,6.183779556646945,20.664011391624264
QC_Low_3,3.9966668104146836,0.9199160089767809,6.996990406015292,22.253194127352046
QC_Low_4,3.474276383300875,0.7720011656242585,6.325788710888604,21.433193892950783
QC_Low_5,3.0821647936222787,0.6431032469214358,5.623558178483918,16.084477321629468
SPL1,1.1225085984853165,0.19877796891675353,1.7577340395446739,7.8321061921398325
SPL2,0.9572415834072694,0.26169163380334787,1.69005071273583,6.189230475087486
SPL3,0.9343529336913616,0.25317629215869997,1.567146144767384,7.533208775878113
SPL4,1.1105173445155208,0.17187669500862343,1.9612931688170752,7.75245511133747
