analysis_id,S1P d16:1 [M>60],S1P d17:1 [M>60],S1P d18:0 [M>60],S1P d18:1 [M>60],S1P d18:2 [M>60],S1P d19:1 [M>60],S1P d20:1 [M>60]
006_EBLK_Extracted Blank+ISTD01,5.417248310291584e-4,0.0021683051656940545,0.0029539819113817752,0.002516439151362468,0.0010596035804353863,0.001624866840135422,1.0563784590653348e-4
007_SOLV_Blank01,0.0938012923690904,0.0891164213687094,0.5304852561620488,0.24874079216698558,0.2675720431420779,0.3177544016654126,0.044755244755244755
008_LTR_LTR01,0.09215143618067145,0.028487528721060685,0.09715670069893037,0.8719867782344697,0.3160904173413885,0.018946023393253925,7.341280447604283e-4
009_NIST_NIST01,0.11817582723735504,0.02880543779248285,0.14983202334316553,0.9848209063524161,0.29299407824408996,0.02714450994598107,0.0010772856249699418
010_TQCd-0_TQC-0percent,0.11785199690283736,0.13330840018442558,0.33132948498824805,0.09745187199966833,0.10637120667537804,0.15472338595379248,0.040547945205479455
011_TQCd-20_TQC-20percent,0.08157897697691621,0.06513404437720016,0.23805016785915561,2.0448825449722348,0.28043251848774214,0.05195743410915737,0.0037306243979332693
012_TQCd-40_TQC-40percent,0.0749846560017277,0.06250054361259677,0.23237951934129575,1.9045575909476218,0.27707633748246924,0.04897991785758569,0.003033861812487767
013_TQCd-60_TQC-60percent,0.07966667856968786,0.06501679702076697,0.22585144002253546,2.045780027547912,0.29935745954963944,0.04962933294081651,0.004172784702065904
014_TQCd-80_TQC-80percent,0.07713860419607957,0.06848380284936802,0.2628053071280088,2.078030744168139,0.3320553846489071,0.0576004828525558,0.003527438848088822
015_TQCd-100_TQC-100percent,0.07477149248059366,0.061982672112547266,0.24628065093774834,2.1433669374961664,0.308848997059855,0.052223696872673114,0.00397804569123235
016_TQC_TQC01,0.06854832296617558,0.06465027034771324,0.24457884903042362,1.9276315955013672,0.3155862034451525,0.05255410547641481,0.004587880195031344
017_TQC_TQC02,0.06955481293486279,0.061834171805711845,0.21345434430245083,2.010986881142783,0.294633871463218,0.04650927011321041,0.0033805245485071236
018_BQC_PQC01,0.07238131111815796,0.06509098029959808,0.23382735801665752,2.068101364255904,0.3203691173228967,0.048140986417729806,0.004245238765362604
019_BQC_PQC02,0.06679446084510293,0.05824584427706987,0.24114556153894579,2.015007622917102,0.30483305151240936,0.050575208634790765,0.004484564697931501
020_SPL_S001,0.07889488925515366,0.05727089766919302,0.10977117542454407,1.2901027891654155,0.21985001842789623,0.03204833490670403,0.0023165044606650444
021_SPL_S002,0.06868357189372307,0.05906234544347901,0.2569241560599492,2.195294454425904,0.26781276895777395,0.052865916274075726,0.007787610619469027
022_SPL_S003,0.050188725284489345,0.050445908658730165,0.2493498184514455,2.087454256503503,0.3554151105267761,0.04764956081378079,0.00358537709531087
023_SPL_S004,0.05223566796770316,0.06274160021002136,0.27731765004110714,1.8095329015462225,0.3757283953689257,0.05410851537932782,0.004359569985414078
024_SPL_S005,0.07947040395473606,0.08863312210275022,0.5485512919353926,4.224725843247358,0.39961238207929123,0.12229066127670117,0.010638928694964668
025_SPL_S006,0.06848883984906969,0.06471519481822116,0.376357443370393,2.963770026305314,0.28493162358911867,0.07868290277560779,0.007108330963889679
