analysis_id,S1P d16:1 [M>60],S1P d17:1 [M>60],S1P d18:0 [M>60],S1P d18:1 [M>60],S1P d18:1 13C2D2 (ISTD) [M>60],S1P d18:2 [M>60],S1P d19:1 [M>60],S1P d20:1 [M>60],S1P d16:1 [M>113],S1P d17:1 [M>113],S1P d18:0 [M>113],S1P d18:1 [M>113],S1P d18:1 13C2D2 (ISTD) [M>113],S1P d18:2 [M>113],S1P d19:1 [M>113],S1P d20:1 [M>113]
006_EBLK_Extracted Blank+ISTD01,0.005062848888122975,0.07716388490014428,0.019825381955582384,0.0025547605597588496,1,0.0036538054497771938,0.06397113543840245,0.12942386166320013,0.028821890846986983,0.22352369848814574,0.08564517911696715,0.009194666537882472,1,0.03488649158742658,0.49297421473485803,NA
007_SOLV_Blank01,0.8766475922344896,3.1714028956836082,3.5603037326312,0.252528723012168,1,0.922662217731303,12.510015813598923,54.83258917481593,2.361605473607841,4.778903753191899,1.0209142052805416,0.24681698690621415,1,0.9392216309092548,17.062385321100916,17.33479218771216
008_LTR_LTR01,0.8612283755202939,1.0137910576889921,0.6520583939525528,0.885265764705045,1,1.0899669563496153,0.7459064328052728,0.8994284736950783,0.9629618438524491,0.7386851158998512,0.7394801477849917,0.8726288204893107,1,1.0444580436596984,0.6909402379748403,1.1309538210205912
009_NIST_NIST01,1.1044469835266824,1.0251045477751903,1.0055840492829902,0.9998181790379856,1,1.0103244077382412,1.0686814939362628,1.3198533584377132,1.0875953033370829,1,1.010253379047406,1.0393345513552397,1,1.0766719150493513,1,0.6151716767335211
010_TQCd-0_TQC-0percent,1.101420531802218,4.744071180940412,2.223687818713074,0.09893591065956173,1,0.36679726439785526,6.091471887944587,49.677950226703956,1.1145936175410427,11.641649719639354,2.8645238783902482,0.26807591594136865,1,1.2508162069139435,12.752813770925941,90.24814489479012
011_TQCd-20_TQC-20percent,0.7624203455786561,2.3179375223202903,1.5976521332829237,2.0760228882966842,1,0.96700868444049,2.0455682720140698,4.570632919026727,0.6362413335942564,1.9087083963011584,1.4910593582955327,1.8013734426128718,1,0.8975623416371924,1.2371843076460312,3.4429126980638913
012_TQCd-40_TQC-40percent,0.7007911775862401,2.2242186339002408,1.5595940895388978,1.933561006038194,1,0.9554356464912731,1.9283432227395942,3.7169833231178897,0.6699242490411228,1.8601005889519993,1.8408781663241682,1.7844733595771907,1,0.9860465757091506,4.2855290234073555,10.32797198099673
013_TQCd-60_TQC-60percent,0.74454839784755,2.3137650185326324,1.5157814766613118,2.076934038119707,1,1.0322671018953082,1.953910745701438,5.112352541799548,0.7781458248271278,1.6087181673130606,1.5768363046472653,1.8940121068424147,1,0.9324429452903977,4.230597195278009,7.398540209668427
014_TQCd-80_TQC-80percent,0.7209215345427996,2.4371460088743064,1.763794007570529,2.1096758824042015,1,1.145018567754852,2.267735545376213,4.321696959860198,0.6749097026665967,1.666051171083536,1.6078727566321571,1.919219745869339,1,1.1011326068361305,0.43630691517505066,6.658521917586935
015_TQCd-100_TQC-100percent,0.6987989951457351,2.2057890431511478,1.652890274749989,2.1760070431433154,1,1.0649965415857068,2.056051057979257,4.873764992211967,0.7311124710935182,1.7160936331392378,1.6779736437128323,2.0074712596303983,1,1.0960501292246585,3.36614552090144,6.627359036572632
016_TQC_TQC01,0.6406385323941642,2.3007213646873037,1.6414687854390848,1.9569863913719459,1,1.088228287741905,2.069059270724993,5.620913287217534,0.7755607822903925,1.541414172543021,1.640272829604928,1.9640488957201918,1,1.0695408757658282,2.6157782574066974,3.895359219085605
017_TQC_TQC02,0.6500449806996522,2.200504334722841,1.4325794919627572,2.0416110468454645,1,1.0159788671145447,1.8310736265043472,4.141702604407029,0.8132315106170873,1.3993786320579977,1.6337571292688142,2.068609629582755,1,1.0096861902149594,3.266133358593484,5.112540938616805
018_BQC_PQC01,0.6764608515715697,2.3164049928682586,1.569311127628574,2.0995952936608155,1,1.104721094216885,1.8953144258948746,5.201120772395103,0.5861078961555471,1.5160191196340342,1.633904330677017,2.002430303483284,1,1.0026279154178153,2.8256128600249104,6.561656557514956
019_BQC_PQC02,0.6242472976177843,2.0728058461590697,1.6184265875097033,2.045693018189951,1,1.0511484534910667,1.9911499462516054,5.494334687572992,0.6175512576991986,1.4485630586904654,1.5419882394854092,1.9441659407201481,1,1.013324210040219,2.639796892142693,5.422920782669514
020_SPL_S001,0.7373354135995668,2.03811023733783,0.7367192981513024,1.3097490245334165,1,0.7581035118203318,1.2617454687678753,2.8381017265778614,0.6833861830982891,1.2171575030899517,0.6990963819002424,1.2352832098049873,1,0.7374037397620873,1.578436123408321,0.7587096948764896
021_SPL_S002,0.6419025410628323,2.1018628271700712,1.7243231950332163,2.2287253344425415,1,0.9234923067509445,2.0813352863809347,9.541113138493968,0.6456454095817401,1.4122156219346422,1.67594973747412,2.2038924664883264,1,0.9435679804021208,NA,5.355618110395787
022_SPL_S003,0.46905350733167606,1.7952280661469808,1.6734887144392316,2.1192429000035555,1,1.2255693466440554,1.8759669611724725,4.392680911010709,0.5356278605155624,1.358060958498125,1.7055930254529221,2.1687904341503126,1,1.2211233274795064,NA,2.8051012212797044
023_SPL_S004,0.48818381278227246,2.2327971604989805,1.8611922821550815,1.8370892401484487,1,1.2956151564445713,2.1302565109971585,5.341195457568247,0.5054041325772567,1.4784851515701978,1.7070276444527956,1.8461774342535324,1,1.3558551997670192,2.191313458592333,3.014065707245876
024_SPL_S005,0.7427140556517389,3.1542036335498294,3.6815522948684074,4.28906176979427,1,1.3779737313079006,4.814592963649654,13.034450142802442,0.7384921620258131,1.6388699310135624,3.9381468434410953,4.012545951503322,1,1.2535501721931104,5.185836069508405,9.93703582175286
025_SPL_S006,0.6400826154118662,2.30303184406481,2.52588888168049,3.008903580005394,1,0.982522839962478,3.0977520777798344,8.708883027969815,0.6331558278782231,1.6384520251740742,2.9548402828326474,2.838988870854173,1,0.9611518592880142,3.2406071158930985,6.461177886139596
026_SPL_S007,0.4629265294333689,1.6198502049792818,1.5212590990381878,1.7384174430730277,1,0.9730001457208758,1.645087624039453,4.730213833005707,0.44768124568613027,1.1813793444006502,1.444258236184553,1.6730596346684026,1,0.925629931181557,0.6255648161525681,8.445592650509369
027_SPL_S008,0.41634879583858847,1.1042754884487305,1.7906552483015017,1.5994416933920281,1,0.7801010581961906,1.5191114397950694,4.915053842303084,0.4847156106894353,0.9413330173459566,1.7353176791858895,1.5663038259203204,1,0.8754590478456425,2.2473791078405063,6.3733497516531425
028_BQC_PQC03,0.6166634384699183,2.3312317491870425,1.5931734872694923,2.1577055250295123,1,1.0838800011409866,2.047248268894633,5.358202453350753,0.6286987320533776,1.20612345227975,1.4745170360600393,1.7912012886596227,1,0.9829402483293908,2.7797524572778842,2.0676681915133783
029_SPL_S009,0.498770276052386,1.7846136526043284,2.29340146533451,2.7607735699567653,1,1.0878430831926216,2.4474487485050958,6.6415962119373955,0.5594481137430943,1.3140514928695273,2.669183321791509,2.83328883220659,1,1.19201661295624,4.382461983159482,6.891989830624002
030_SPL_S010,0.4372267704480452,1.4934004346613856,1.904353042339941,2.768740579909354,1,1.1116131644248033,2.4739384606179273,7.142505571308482,0.4739177302296093,1.127977543873798,2.1917234732505952,2.5637440635479622,1,1.0587930267421188,2.5414854168466676,4.54775924201943
031_SPL_S011,0.40117956912341873,1.8162389928514855,0.5496452041542895,0.8239851302956606,1,0.8015172834443692,0.8221568206491988,1.684483525765714,0.4884092344993708,1.2682808681101676,0.4878417409461868,0.7613348497114489,1,0.8058385888601323,2.273762256653964,0.9128477347639933
032_SPL_S012,0.44815841597428785,2.522120595022889,1.491041187475174,2.024940182573468,1,0.85555526744895,2.1923235653218756,4.082380245465585,0.44685168511032025,1.894653846087556,1.4854828016493964,2.0968604027299973,1,1.028774325581233,2.689600795595696,2.273998327366689
033_SPL_S013,0.6614264032988576,2.53963090368474,3.2063306711855524,3.1677795783238145,1,1.2449027368285093,2.8098842447378867,7.807383717113379,0.7432643695663632,1.5320733076465158,3.4743361276480385,3.066569413039529,1,1.293796711193395,1.844278688768249,8.10922842317033
034_SPL_S014,0.8793904790138464,2.7659897064663896,1.9182116724458358,2.426689230941618,1,1.2666067879959662,2.0686423452159812,4.728525687876478,0.9514291368273337,1.9405500458762308,2.051203372341208,2.4139563837698406,1,1.1923857918096985,2.859566612499778,1.3829963782229129
035_SPL_S015,0.7483022253869627,2.6631591712590983,1.8539298034464409,2.055687361976146,1,1.2162582278439258,2.0729862816708082,5.970079865559836,0.7145694607747747,1.5796105474856288,1.6481946873509574,1.9243054718808894,1,1.0928827610898844,3.630586980689338,7.4608260891623654
